title,url,author,year,price
"Choose Joy: Relieve Burnout, Focus on Your Happiness, and Infuse More Joy into Your Everyday Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4OTAwNzMxMDAxNTQ3NDE0OjE2ODM0NTQ2MDY6c3BfYXRmX2Jyb3dzZToyMDE0Mjc5MDg2MTY5ODo6MDo6&url=%2FChoose-Joy-Relieve-Happiness-Everyday%2Fdp%2F1950968774%2Fref%3Dsr_1_18_sspa%3Fqid%3D1683454606%26s%3Dbooks%26sr%3D1-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Sophie Cliff,15 Nov 2022,£13.85
Scattered Minds: The Origins and Healing of Attention Deficit Disorder,https://www.amazon.co.uk/Scattered-Minds-Origins-Attention-Disorder/dp/1785042211/ref=sr_1_19?qid=1683454606&s=books&sr=1-19,Dr Gabor Maté,3 Jan 2019,£17.99
Becoming Molly-Mae,https://www.amazon.co.uk/Becoming-Molly-Mae-Hague/dp/1529148782/ref=sr_1_20?qid=1683454606&s=books&sr=1-20,Molly-Mae Hague,27 Apr 2023,£11.99
The Just Chill Baby Sleep Book: Easy and Empowering Sleep Solutions,https://www.amazon.co.uk/Just-Chill-Baby-Sleep-Book/dp/1785044184/ref=sr_1_21?qid=1683454606&s=books&sr=1-21,Rosey Davidson,27 Apr 2023,£12.99
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,https://www.amazon.co.uk/Atomic-Habits-Proven-Build-Break/dp/B07J1XQSNK/ref=sr_1_22?qid=1683454606&s=books&sr=1-22,James Clear,Unknown,£7.99
"Dopamine Detox: Reduce Instant Gratification, Beat Social Media Addiction, and Stop Wasting Your Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4OTAwNzMxMDAxNTQ3NDE0OjE2ODM0NTQ2MDY6c3BfbXRmX2Jyb3dzZToyMDE0NTk1NjA1MjE5ODo6MDo6&url=%2FDopamine-Detox-Instant-Gratification-Addiction%2Fdp%2FB0BZBPNQD7%2Fref%3Dsr_1_23_sspa%3Fqid%3D1683454606%26s%3Dbooks%26sr%3D1-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Josh Snider,22 Mar 2023,£12.99
Inner Alignment Soul Retrieval for Childhood Trauma: a six-layered approach to address the root cause of anxiety and depression,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4OTAwNzMxMDAxNTQ3NDE0OjE2ODM0NTQ2MDY6c3BfbXRmX2Jyb3dzZToyMDEwNzM1NTk1MDQ5ODo6MDo6&url=%2FAlignment-Retrieval-Healing-Childhood-Trauma-ebook%2Fdp%2FB09JV8QBXX%2Fref%3Dsr_1_24_sspa%3Fqid%3D1683454606%26s%3Dbooks%26sr%3D1-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Kimberly Beekman,18 Oct 2021,£6.99
"8 Rules of Love: The Sunday Times bestsellling guide on how to find lasting love and enjoy healthy relationships, from the author of Think Like A Monk",https://www.amazon.co.uk/Rules-Love-bestselling-lasting-relationships/dp/0008471657/ref=sr_1_25?qid=1683454606&s=books&sr=1-25,Jay Shetty,31 Jan 2023,£8.99
12 Rules for Life: An Antidote to Chaos,https://www.amazon.co.uk/12-Rules-Life-Antidote-Chaos/dp/B078YBSPYZ/ref=sr_1_26?qid=1683454606&s=books&sr=1-26,Jordan B. Peterson,Unknown,£0.00
Friendaholic: Confessions of a Friendship Addict,https://www.amazon.co.uk/Audible-Friendaholic-Confessions-Friendship-Addict/dp/B0B7CNY7W2/ref=sr_1_27?qid=1683454606&s=books&sr=1-27,Elizabeth Day,Unknown,£8.99
"Attached: Are you Anxious, Avoidant or Secure? How the science of adult attachment can help you find – and keep – love",https://www.amazon.co.uk/Attached-Anxious-Avoidant-science-attachment/dp/1529032172/ref=sr_1_28?qid=1683454606&s=books&sr=1-28,Amir Levine,22 Aug 2019,£5.99
"The Self-Help Bible: All the Answers for a Happier, Healthier Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4OTAwNzMxMDAxNTQ3NDE0OjE2ODM0NTQ2MDY6c3BfbXRmX2Jyb3dzZToyMDExODAwNTg0MDc5ODo6MDo6&url=%2FSelf-Help-Bible-Answers-Happier-Healthier%2Fdp%2FB0BD2H2KKD%2Fref%3Dsr_1_29_sspa%3Fqid%3D1683454606%26s%3Dbooks%26sr%3D1-29-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,George Mahood,6 Sept 2022,£8.99
Meditations,https://www.amazon.co.uk/Meditations-Marcus-Aurelius-ebook/dp/B0C485XH2L/ref=sr_1_30?qid=1683454606&s=books&sr=1-30,Marcus Aurelius,6 May 2023,£14.23
"Surrounded by Idiots: The Four Types of Human Behaviour (or, How to Understand Those Who Cannot Be Understood)",https://www.amazon.co.uk/Surrounded-Idiots-Behaviour-Understand-Understood-ebook/dp/B07K2NFXTD/ref=sr_1_31?qid=1683454606&s=books&sr=1-31,Part of: The Surrounded by Idiots (6 books) ,30 Jul 2019,£16.99
The Hairy Bikers Eat to Beat Type 2 Diabetes: 80 delicious & filling recipes to get your health back on track,https://www.amazon.co.uk/Hairy-Bikers-Beat-Type-Diabetes/dp/1841884073/ref=sr_1_32?qid=1683454606&s=books&sr=1-32,Hairy Bikers,11 Jun 2020,£7.99
"The Boy, the Mole, the Fox and the Horse: The Animated Story",https://www.amazon.co.uk/Boy-Mole-Fox-Horse-Animated/dp/1529197686/ref=sr_1_33?qid=1683454606&s=books&sr=1-33,Charlie Mackesy,22 Nov 2022,£16.99
"The Greatest Self-Help Book (is the one written by you): A Daily Journal for Gratitude, Happiness, Reflection and Self-Love",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4OTAwNzMxMDAxNTQ3NDE0OjE2ODM0NTQ2MDY6c3BfbXRmX2Jyb3dzZToyMDA5NDMzNTA0MDE5ODo6MDo6&url=%2FGreatest-Self-Help-Book-one-written%2Fdp%2F1035005182%2Fref%3Dsr_1_34_sspa%3Fqid%3D1683454606%26s%3Dbooks%26sr%3D1-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Vex King,8 Dec 2022,£0.00
Create This Book,https://www.amazon.co.uk/Create-This-Book-Moriah-Elizabeth/dp/0692452745/ref=sr_1_35?qid=1683454606&s=books&sr=1-35,Moriah Elizabeth,17 May 2015,£25.99
The Power of Now: A Guide to Spiritual Enlightenment,https://www.amazon.co.uk/The-Power-of-Now/dp/B002SQ7HVO/ref=sr_1_36?qid=1683454606&s=books&sr=1-36,Part of: The Power of Now (5 books) ,Unknown,£0.00
"Choose Joy: Relieve Burnout, Focus on Your Happiness, and Infuse More Joy into Your Everyday Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MToyMTc4MTUwNDE0MDgyMTA3OjE2ODM0NTQ2MDk6c3BfYXRmX2Jyb3dzZToyMDE0Mjc5MDg2MTY5ODo6MDo6&url=%2FChoose-Joy-Relieve-Happiness-Everyday%2Fdp%2F1950968774%2Fref%3Dsr_1_34_sspa%3Fqid%3D1683454609%26s%3Dbooks%26sr%3D1-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Sophie Cliff,15 Nov 2022,£13.85
Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,https://www.amazon.co.uk/Start-Why-Leaders-Inspire-Everyone/dp/0241958229/ref=sr_1_35?qid=1683454609&s=books&sr=1-35,Part of: Start with Why Series (3 books) ,6 Oct 2011,£17.99
Never Split the Difference: Negotiating as if Your Life Depended on It,https://www.amazon.co.uk/Never-Split-Difference-Negotiating-Depended/dp/B07T7L39TN/ref=sr_1_36?qid=1683454609&s=books&sr=1-36,Chris Voss,Unknown,£8.99
"Timeless Seeds of Advice: The Sayings of Prophet Muhammad ﷺ , Ibn Taymiyyah, Ibn al-Qayyim, Ibn al-Jawzi and Other Prominent Scholars in Bringing Comfort and Hope to the Soul",https://www.amazon.co.uk/Timeless-Seeds-Advice-Taymiyyah-al-Qayyim/dp/1692930249/ref=sr_1_37?qid=1683454609&s=books&sr=1-37,B. B. Abdulla,13 Sept 2019,£9.99
How to Win Friends & Influence People,https://www.amazon.co.uk/How-Win-Friends-Influence-People/dp/B002SQ1C06/ref=sr_1_38?qid=1683454609&s=books&sr=1-38,Dale Carnegie,Unknown,£0.00
Inner Alignment Soul Retrieval for Childhood Trauma: a six-layered approach to address the root cause of anxiety and depression,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MToyMTc4MTUwNDE0MDgyMTA3OjE2ODM0NTQ2MDk6c3BfbXRmX2Jyb3dzZToyMDEwNzM1NTk1MDQ5ODo6MDo6&url=%2FAlignment-Retrieval-Healing-Childhood-Trauma-ebook%2Fdp%2FB09JV8QBXX%2Fref%3Dsr_1_39_sspa%3Fqid%3D1683454609%26s%3Dbooks%26sr%3D1-39-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Kimberly Beekman,18 Oct 2021,£15.99
"Dopamine Detox: Reduce Instant Gratification, Beat Social Media Addiction, and Stop Wasting Your Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MToyMTc4MTUwNDE0MDgyMTA3OjE2ODM0NTQ2MDk6c3BfbXRmX2Jyb3dzZToyMDE0NTk1NjA1MjE5ODo6MDo6&url=%2FDopamine-Detox-Instant-Gratification-Addiction%2Fdp%2FB0BZBPNQD7%2Fref%3Dsr_1_40_sspa%3Fqid%3D1683454609%26s%3Dbooks%26sr%3D1-40-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Josh Snider,22 Mar 2023,£7.99
Breath: The New Science of a Lost Art,https://www.amazon.co.uk/Breath-New-Science-Lost-Art/dp/0241289122/ref=sr_1_41?qid=1683454609&s=books&sr=1-41,James Nestor,8 Jul 2021,£9.99
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.amazon.co.uk/Subtle-Art-Not-Giving-Counterintuitive/dp/B01M9JOAFI/ref=sr_1_42?qid=1683454609&s=books&sr=1-42,Part of: The Subtle Art of Not Giving a F*ck (2 books) ,Unknown,£0.00
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living: Featuring new translations of Seneca, Epictetus, and Marcus Aurelius",https://www.amazon.co.uk/Daily-Stoic-Meditations-Perseverance-translations/dp/1781257655/ref=sr_1_43?qid=1683454609&s=books&sr=1-43,Ryan Holiday,27 Oct 2016,£13.99
The 7 Habits Of Highly Effective People: Revised and Updated: 30th Anniversary Edition,https://www.amazon.co.uk/Habits-Highly-Effective-People-Anniversary/dp/1471195201/ref=sr_1_44?qid=1683454609&s=books&sr=1-44,Stephen R. Covey,19 May 2020,£8.99
